,id,review,rating,fresh,critic,top_critic,publisher,date
0,3,"A distinctly gallows take on contemporary financial mores, as one absurdly rich man's limo ride across town for a haircut functions as a state-of-the-nation discourse. ",3/5,fresh,PJ Nabarro,0,Patrick Nabarro,"November 10, 2018"
7,3,Cronenberg is not a director to be daunted by a scenario in which the antihero spends most of his time in a stretch limo. Turning it into a film that interests anyone ... is another matter,2/5,rotten,Matt Kelemen,0,Las Vegas CityLife,"April 21, 2013"
15,3,"For better or worse - often both - Cosmopolis is a quintessential David Cronenberg film. Cosmopolis is simultaneously fascinating and impenetrable, profound and absurd, labyrinthine yet intimate.",3/5,fresh,Adam Ross,0,The Aristocrat,"September 27, 2012"
16,3,"For one of the smartest films I've seen in a while, Cosmopolis is also one of the least outwardly enjoyable. That by no means makes it anything less than a great film however.",4/5,fresh,Patrick Kolan,0,Shotgun Cinema,"September 26, 2012"
23,3,Those who said Don DeLillo's book was unfilmable were wrong. This is a film. That much is undeniable. Whether it's a compelling one is a whole other question.,2/5,rotten,Mike Scott,0,Times-Picayune,"September 7, 2012"
29,3,David Cronenberg takes a wayward shot at making a film out of Don DeLillo's artful novel Cosmopolis. Cronenberg's version drones and flounders.,2.0/5,rotten,Tony Macklin,0,tonymacklin.net,"September 2, 2012"
33,3,"If Cosmopolis remains chilly and remote, it does so in a way that often feels unsettlingly familiar.",3/5,fresh,Scott Renshaw,0,Salt Lake City Weekly,"August 30, 2012"
36,3,"Cosmopolis deconstructs language, symbols and theories to present a sprawling and dense post-GFC Heart of Darkness.",4/5,fresh,Thomas Caldwell,0,Cinema Autopsy,"August 29, 2012"
40,3,Cosmopolis is an investment that pays off enormous dividends.,5/5,fresh,Peter Sobczynski,0,eFilmCritic.com,"August 24, 2012"
44,3,I must admit Robert Pattinson does dead extremely well.,3/5,fresh,Marc Savlov,0,Austin Chronicle,"August 24, 2012"
52,3,"Watching Cosmopolis, it's hard to say if you're witnessing a revelation or a crock, but you'll hang on its every word.",4/5,fresh,Hank Sartin,0,Time Out Chicago,"August 23, 2012"
56,3,"A purposefully disjointed, pretentious, philosophical, and deeply stylized journey through an exaggerated commentary on the haves, the have-nots, and those stuck in the middle. ",3.5/5,fresh,Brian Tallerico,0,HollywoodChicago.com,"August 23, 2012"
70,3,"After seeing Cosmopolis, you're going to want to take a shower.",3/5,fresh,Samir Mathur,0,Orlando Weekly,"August 22, 2012"
75,3,"It helps to let yourself get lost in David Cronenberg's Cosmopolis, which adapts Don Delillo's novel and clings hard to the inscrutable, arcane language, which very deliberately keeps the audience at arm's length",3.5/5,fresh,Katey Rich,0,CinemaBlend,"August 20, 2012"
88,3,DeLillo's brilliant analysis of the destructive power of wealth that took such seductive hold on page has a tough time gaining traction on screen.,2.5/5,rotten,Betsy Sharkey,1,Los Angeles Times,"August 16, 2012"
90,3,Frustratingly bland work from lead Robert Pattinson results in an awfully watery stew.,2/5,rotten,Elizabeth Weitzman,1,New York Daily News,"August 16, 2012"
92,3,"Mr. Cronenberg's direction throughout ""Cosmopolis"" is impeccable, both inside the limo and out.",3.5/5,fresh,Manohla Dargis,1,New York Times,"August 16, 2012"
100,3,"Cosmopolis is almost certainly some kind of masterpiece, but I have to admit it's probably not for everyone.",5/5,fresh,Glenn Kenny,1,MSN Movies,"August 14, 2012"
102,3,"Don't panic, but Robert Pattinson may have been neutered.",4/5,fresh,David Ehrlich,0,Boxoffice Magazine,"August 14, 2012"
108,3,"A sensual, propulsive thriller, the apocalypse as viewed from lush interiors and a hermetic remove.",4/5,fresh,Joshua Rothkopf,1,Time Out,"August 7, 2012"
